order_date,sku,product_name,quantity_sold,unit_price,unit_cost,revenue,cost,profit,region,channel,customer_segment
2025-12-05,SKU-005,Smart Scale,11,34,18.02,374,198.22,175.78,Online,Amazon,Returning
2025-12-05,SKU-006,Resistance Bands,11,12,6.96,132,76.56,55.44,South,Shopify,Wholesale
2025-12-05,SKU-007,Meal Prep Container,22,18,8.64,396,190.08,205.92,West,Shopify,Wholesale
2025-12-05,SKU-008,Trail Mix Pack,4,24,12.72,96,50.88,45.12,South,Shopify,VIP
2025-12-05,SKU-010,Foam Roller,10,36,17.28,360,172.8,187.2,West,Shopify,Returning
2025-12-05,SKU-011,Sports Towel,10,14,7.42,140,74.2,65.8,West,Shopify,VIP
2025-12-05,SKU-013,Knee Support,12,26,12.48,312,149.76,162.24,Online,Retail,New
2025-12-05,SKU-014,Gym Gloves,22,32,16.96,704,373.12,330.88,South,Retail,Returning
2025-12-05,SKU-015,Jump Rope,5,38,22.04,190,110.2,79.8,Online,Amazon,New
2025-12-05,SKU-016,Massage Ball,6,16,7.68,96,46.08,49.92,Online,Shopify,Returning
2025-12-05,SKU-017,Compression Sleeve,10,22,11.66,220,116.6,103.4,South,Amazon,Returning
2025-12-05,SKU-018,Training Cone,10,28,16.24,280,162.4,117.6,Online,Shopify,New
2025-12-05,SKU-019,Water Filter,7,34,16.32,238,114.24,123.76,North,Retail,New
2025-12-05,SKU-020,Energy Gel,10,40,21.2,400,212.0,188.0,South,Wholesale,New
2025-12-06,SKU-001,Hydration Bottle,4,10,4.8,40,19.2,20.8,East,Retail,New
2025-12-06,SKU-003,Yoga Mat,7,22,12.76,154,89.32,64.68,West,Amazon,Returning
2025-12-06,SKU-004,Running Socks,11,28,13.44,308,147.84,160.16,Online,Wholesale,Returning
2025-12-06,SKU-005,Smart Scale,16,34,18.02,544,288.32,255.68,East,Shopify,Returning
2025-12-06,SKU-006,Resistance Bands,17,12,6.96,204,118.32,85.68,North,Amazon,Returning
2025-12-06,SKU-007,Meal Prep Container,26,18,8.64,468,224.64,243.36,North,Retail,VIP
2025-12-06,SKU-008,Trail Mix Pack,6,24,12.72,144,76.32,67.68,West,Amazon,New
2025-12-06,SKU-009,Vitamin Organizer,5,30,17.4,150,87.0,63.0,West,Retail,Returning
2025-12-06,SKU-010,Foam Roller,10,36,17.28,360,172.8,187.2,South,Retail,Wholesale
2025-12-06,SKU-011,Sports Towel,7,14,7.42,98,51.94,46.06,East,Retail,Returning
2025-12-06,SKU-012,Electrolyte Pack,11,20,11.6,220,127.6,92.4,East,Amazon,New
2025-12-06,SKU-014,Gym Gloves,18,32,16.96,576,305.28,270.72,South,Wholesale,New
2025-12-06,SKU-015,Jump Rope,2,38,22.04,76,44.08,31.92,East,Retail,VIP
2025-12-06,SKU-016,Massage Ball,7,16,7.68,112,53.76,58.24,North,Retail,New
2025-12-06,SKU-017,Compression Sleeve,11,22,11.66,242,128.26,113.74,East,Shopify,New
2025-12-06,SKU-018,Training Cone,13,28,16.24,364,211.12,152.88,West,Shopify,New
2025-12-06,SKU-019,Water Filter,13,34,16.32,442,212.16,229.84,Online,Wholesale,Returning
2025-12-06,SKU-020,Energy Gel,14,40,21.2,560,296.8,263.2,North,Shopify,New
2025-12-07,SKU-001,Hydration Bottle,6,10,4.8,60,28.8,31.2,West,Shopify,VIP
2025-12-07,SKU-002,Protein Bar Box,11,16,8.48,176,93.28,82.72,North,Shopify,Returning
2025-12-07,SKU-003,Yoga Mat,6,22,12.76,132,76.56,55.44,South,Shopify,Returning
2025-12-07,SKU-006,Resistance Bands,19,12,6.96,228,132.24,95.76,South,Amazon,Returning
2025-12-07,SKU-007,Meal Prep Container,26,18,8.64,468,224.64,243.36,North,Amazon,New
2025-12-07,SKU-008,Trail Mix Pack,6,24,12.72,144,76.32,67.68,North,Shopify,New
2025-12-07,SKU-009,Vitamin Organizer,5,30,17.4,150,87.0,63.0,West,Wholesale,New
2025-12-07,SKU-010,Foam Roller,6,36,17.28,216,103.68,112.32,South,Shopify,VIP
2025-12-07,SKU-011,Sports Towel,13,14,7.42,182,96.46,85.54,Online,Wholesale,New
2025-12-07,SKU-012,Electrolyte Pack,19,20,11.6,380,220.4,159.6,Online,Wholesale,Returning
2025-12-07,SKU-013,Knee Support,20,26,12.48,520,249.6,270.4,West,Retail,New
2025-12-07,SKU-015,Jump Rope,2,38,22.04,76,44.08,31.92,East,Retail,Returning
2025-12-07,SKU-016,Massage Ball,7,16,7.68,112,53.76,58.24,West,Wholesale,New
2025-12-07,SKU-018,Training Cone,8,28,16.24,224,129.92,94.08,West,Retail,Returning
2025-12-07,SKU-019,Water Filter,14,34,16.32,476,228.48,247.52,North,Wholesale,Wholesale
2025-12-08,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,East,Amazon,Returning
2025-12-08,SKU-002,Protein Bar Box,3,16,8.48,48,25.44,22.56,Online,Wholesale,New
2025-12-08,SKU-003,Yoga Mat,13,22,12.76,286,165.88,120.12,South,Retail,New
2025-12-08,SKU-004,Running Socks,13,28,13.44,364,174.72,189.28,East,Shopify,New
2025-12-08,SKU-005,Smart Scale,13,34,18.02,442,234.26,207.74,East,Shopify,New
2025-12-08,SKU-006,Resistance Bands,11,12,6.96,132,76.56,55.44,South,Retail,Returning
2025-12-08,SKU-007,Meal Prep Container,13,18,8.64,234,112.32,121.68,West,Wholesale,Returning
2025-12-08,SKU-008,Trail Mix Pack,3,24,12.72,72,38.16,33.84,North,Wholesale,Wholesale
2025-12-08,SKU-010,Foam Roller,9,36,17.28,324,155.52,168.48,Online,Amazon,Returning
2025-12-08,SKU-011,Sports Towel,8,14,7.42,112,59.36,52.64,West,Amazon,New
2025-12-08,SKU-012,Electrolyte Pack,15,20,11.6,300,174.0,126.0,East,Shopify,New
2025-12-08,SKU-013,Knee Support,17,26,12.48,442,212.16,229.84,North,Amazon,Returning
2025-12-08,SKU-014,Gym Gloves,14,32,16.96,448,237.44,210.56,North,Shopify,Wholesale
2025-12-08,SKU-015,Jump Rope,4,38,22.04,152,88.16,63.84,Online,Shopify,New
2025-12-08,SKU-016,Massage Ball,6,16,7.68,96,46.08,49.92,West,Wholesale,Returning
2025-12-08,SKU-017,Compression Sleeve,4,22,11.66,88,46.64,41.36,West,Wholesale,Returning
2025-12-08,SKU-018,Training Cone,6,28,16.24,168,97.44,70.56,North,Amazon,New
2025-12-08,SKU-019,Water Filter,11,34,16.32,374,179.52,194.48,South,Amazon,New
2025-12-08,SKU-020,Energy Gel,13,40,21.2,520,275.6,244.4,East,Amazon,Returning
2025-12-09,SKU-001,Hydration Bottle,5,10,4.8,50,24.0,26.0,South,Amazon,Returning
2025-12-09,SKU-002,Protein Bar Box,2,16,8.48,32,16.96,15.04,West,Retail,Returning
2025-12-09,SKU-003,Yoga Mat,5,22,12.76,110,63.8,46.2,West,Shopify,New
2025-12-09,SKU-004,Running Socks,11,28,13.44,308,147.84,160.16,South,Amazon,Returning
2025-12-09,SKU-005,Smart Scale,16,34,18.02,544,288.32,255.68,West,Wholesale,VIP
2025-12-09,SKU-006,Resistance Bands,11,12,6.96,132,76.56,55.44,South,Retail,New
2025-12-09,SKU-007,Meal Prep Container,13,18,8.64,234,112.32,121.68,North,Wholesale,Wholesale
2025-12-09,SKU-008,Trail Mix Pack,7,24,12.72,168,89.04,78.96,South,Retail,Returning
2025-12-09,SKU-009,Vitamin Organizer,4,30,17.4,120,69.6,50.4,South,Wholesale,VIP
2025-12-09,SKU-010,Foam Roller,6,36,17.28,216,103.68,112.32,South,Retail,Wholesale
2025-12-09,SKU-011,Sports Towel,9,14,7.42,126,66.78,59.22,South,Retail,Returning
2025-12-09,SKU-012,Electrolyte Pack,12,20,11.6,240,139.2,100.8,West,Wholesale,Returning
2025-12-09,SKU-013,Knee Support,7,26,12.48,182,87.36,94.64,North,Amazon,Returning
2025-12-09,SKU-014,Gym Gloves,12,32,16.96,384,203.52,180.48,East,Amazon,VIP
2025-12-09,SKU-015,Jump Rope,8,38,22.04,304,176.32,127.68,Online,Shopify,New
2025-12-09,SKU-017,Compression Sleeve,5,22,11.66,110,58.3,51.7,West,Wholesale,VIP
2025-12-09,SKU-018,Training Cone,9,28,16.24,252,146.16,105.84,South,Shopify,New
2025-12-09,SKU-019,Water Filter,8,34,16.32,272,130.56,141.44,West,Amazon,Returning
2025-12-09,SKU-020,Energy Gel,16,40,21.2,640,339.2,300.8,South,Retail,New
2025-12-10,SKU-002,Protein Bar Box,7,16,8.48,112,59.36,52.64,West,Retail,New
2025-12-10,SKU-003,Yoga Mat,3,22,12.76,66,38.28,27.72,South,Wholesale,Returning
2025-12-10,SKU-004,Running Socks,8,28,13.44,224,107.52,116.48,West,Shopify,New
2025-12-10,SKU-005,Smart Scale,8,34,18.02,272,144.16,127.84,West,Shopify,VIP
2025-12-10,SKU-007,Meal Prep Container,14,18,8.64,252,120.96,131.04,South,Shopify,VIP
2025-12-10,SKU-008,Trail Mix Pack,2,24,12.72,48,25.44,22.56,South,Retail,New
2025-12-10,SKU-009,Vitamin Organizer,7,30,17.4,210,121.8,88.2,West,Retail,VIP
2025-12-10,SKU-010,Foam Roller,9,36,17.28,324,155.52,168.48,Online,Shopify,VIP
2025-12-10,SKU-011,Sports Towel,13,14,7.42,182,96.46,85.54,Online,Amazon,Returning
2025-12-10,SKU-012,Electrolyte Pack,5,20,11.6,100,58.0,42.0,Online,Amazon,New
2025-12-10,SKU-013,Knee Support,13,26,12.48,338,162.24,175.76,South,Wholesale,Wholesale
2025-12-10,SKU-016,Massage Ball,5,16,7.68,80,38.4,41.6,South,Shopify,VIP
2025-12-10,SKU-017,Compression Sleeve,7,22,11.66,154,81.62,72.38,North,Wholesale,Wholesale
2025-12-10,SKU-018,Training Cone,10,28,16.24,280,162.4,117.6,Online,Amazon,Returning
2025-12-10,SKU-019,Water Filter,8,34,16.32,272,130.56,141.44,South,Shopify,Returning
2025-12-11,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,South,Amazon,New
2025-12-11,SKU-002,Protein Bar Box,8,16,8.48,128,67.84,60.16,North,Shopify,Returning
2025-12-11,SKU-003,Yoga Mat,6,22,12.76,132,76.56,55.44,East,Wholesale,New
2025-12-11,SKU-004,Running Socks,8,28,13.44,224,107.52,116.48,North,Amazon,New
2025-12-11,SKU-005,Smart Scale,13,34,18.02,442,234.26,207.74,East,Wholesale,Wholesale
2025-12-11,SKU-006,Resistance Bands,14,12,6.96,168,97.44,70.56,North,Wholesale,Returning
2025-12-11,SKU-007,Meal Prep Container,16,18,8.64,288,138.24,149.76,North,Amazon,Returning
2025-12-11,SKU-008,Trail Mix Pack,1,24,12.72,24,12.72,11.28,East,Amazon,Wholesale
2025-12-11,SKU-009,Vitamin Organizer,3,30,17.4,90,52.2,37.8,Online,Shopify,Returning
2025-12-11,SKU-010,Foam Roller,5,36,17.28,180,86.4,93.6,West,Retail,Wholesale
2025-12-11,SKU-011,Sports Towel,10,14,7.42,140,74.2,65.8,Online,Amazon,VIP
2025-12-11,SKU-012,Electrolyte Pack,10,20,11.6,200,116.0,84.0,West,Retail,Returning
2025-12-11,SKU-013,Knee Support,11,26,12.48,286,137.28,148.72,Online,Shopify,Wholesale
2025-12-11,SKU-014,Gym Gloves,9,32,16.96,288,152.64,135.36,South,Retail,Returning
2025-12-11,SKU-015,Jump Rope,5,38,22.04,190,110.2,79.8,North,Shopify,Returning
2025-12-11,SKU-016,Massage Ball,5,16,7.68,80,38.4,41.6,East,Retail,VIP
2025-12-11,SKU-017,Compression Sleeve,11,22,11.66,242,128.26,113.74,South,Amazon,New
2025-12-11,SKU-018,Training Cone,7,28,16.24,196,113.68,82.32,Online,Shopify,New
2025-12-11,SKU-019,Water Filter,10,34,16.32,340,163.2,176.8,East,Retail,Returning
2025-12-11,SKU-020,Energy Gel,5,40,21.2,200,106.0,94.0,South,Retail,VIP
2025-12-12,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,North,Amazon,Returning
2025-12-12,SKU-002,Protein Bar Box,4,16,8.48,64,33.92,30.08,East,Amazon,Returning
2025-12-12,SKU-004,Running Socks,14,28,13.44,392,188.16,203.84,Online,Retail,Wholesale
2025-12-12,SKU-005,Smart Scale,10,34,18.02,340,180.2,159.8,North,Shopify,New
2025-12-12,SKU-006,Resistance Bands,12,12,6.96,144,83.52,60.48,East,Shopify,New
2025-12-12,SKU-007,Meal Prep Container,20,18,8.64,360,172.8,187.2,East,Shopify,Returning
2025-12-12,SKU-008,Trail Mix Pack,5,24,12.72,120,63.6,56.4,East,Amazon,VIP
2025-12-12,SKU-009,Vitamin Organizer,4,30,17.4,120,69.6,50.4,North,Wholesale,New
2025-12-12,SKU-010,Foam Roller,7,36,17.28,252,120.96,131.04,South,Amazon,Returning
2025-12-12,SKU-011,Sports Towel,12,14,7.42,168,89.04,78.96,South,Amazon,New
2025-12-12,SKU-013,Knee Support,8,26,12.48,208,99.84,108.16,West,Shopify,Wholesale
2025-12-12,SKU-014,Gym Gloves,9,32,16.96,288,152.64,135.36,South,Amazon,Returning
2025-12-12,SKU-015,Jump Rope,7,38,22.04,266,154.28,111.72,West,Wholesale,Returning
2025-12-12,SKU-016,Massage Ball,3,16,7.68,48,23.04,24.96,South,Retail,Returning
2025-12-12,SKU-017,Compression Sleeve,12,22,11.66,264,139.92,124.08,East,Amazon,Wholesale
2025-12-12,SKU-018,Training Cone,10,28,16.24,280,162.4,117.6,North,Retail,VIP
2025-12-12,SKU-019,Water Filter,6,34,16.32,204,97.92,106.08,East,Shopify,Returning
2025-12-12,SKU-020,Energy Gel,18,40,21.2,720,381.6,338.4,South,Amazon,VIP
2025-12-13,SKU-001,Hydration Bottle,5,10,4.8,50,24.0,26.0,South,Shopify,Wholesale
2025-12-13,SKU-002,Protein Bar Box,10,16,8.48,160,84.8,75.2,West,Shopify,Wholesale
2025-12-13,SKU-003,Yoga Mat,7,22,12.76,154,89.32,64.68,West,Shopify,New
2025-12-13,SKU-004,Running Socks,15,28,13.44,420,201.6,218.4,West,Retail,VIP
2025-12-13,SKU-005,Smart Scale,16,34,18.02,544,288.32,255.68,South,Amazon,New
2025-12-13,SKU-006,Resistance Bands,16,12,6.96,192,111.36,80.64,East,Amazon,New
2025-12-13,SKU-007,Meal Prep Container,16,18,8.64,288,138.24,149.76,Online,Retail,VIP
2025-12-13,SKU-008,Trail Mix Pack,4,24,12.72,96,50.88,45.12,West,Amazon,Returning
2025-12-13,SKU-009,Vitamin Organizer,9,30,17.4,270,156.6,113.4,West,Amazon,New
2025-12-13,SKU-010,Foam Roller,15,36,17.28,540,259.2,280.8,East,Amazon,Wholesale
2025-12-13,SKU-011,Sports Towel,11,14,7.42,154,81.62,72.38,South,Amazon,New
2025-12-13,SKU-013,Knee Support,14,26,12.48,364,174.72,189.28,East,Shopify,Returning
2025-12-13,SKU-014,Gym Gloves,11,32,16.96,352,186.56,165.44,North,Retail,Returning
2025-12-13,SKU-015,Jump Rope,8,38,22.04,304,176.32,127.68,East,Amazon,Returning
2025-12-13,SKU-016,Massage Ball,15,16,7.68,240,115.2,124.8,East,Retail,Returning
2025-12-13,SKU-017,Compression Sleeve,7,22,11.66,154,81.62,72.38,Online,Amazon,New
2025-12-13,SKU-019,Water Filter,13,34,16.32,442,212.16,229.84,West,Shopify,Returning
2025-12-14,SKU-001,Hydration Bottle,2,10,4.8,20,9.6,10.4,South,Wholesale,Returning
2025-12-14,SKU-002,Protein Bar Box,7,16,8.48,112,59.36,52.64,East,Amazon,New
2025-12-14,SKU-003,Yoga Mat,4,22,12.76,88,51.04,36.96,North,Retail,VIP
2025-12-14,SKU-004,Running Socks,15,28,13.44,420,201.6,218.4,Online,Amazon,Returning
2025-12-14,SKU-005,Smart Scale,11,34,18.02,374,198.22,175.78,South,Amazon,Returning
2025-12-14,SKU-006,Resistance Bands,12,12,6.96,144,83.52,60.48,South,Shopify,Wholesale
2025-12-14,SKU-007,Meal Prep Container,30,18,8.64,540,259.2,280.8,East,Wholesale,Wholesale
2025-12-14,SKU-008,Trail Mix Pack,7,24,12.72,168,89.04,78.96,East,Retail,New
2025-12-14,SKU-009,Vitamin Organizer,9,30,17.4,270,156.6,113.4,South,Wholesale,Returning
2025-12-14,SKU-010,Foam Roller,11,36,17.28,396,190.08,205.92,Online,Amazon,New
2025-12-14,SKU-011,Sports Towel,10,14,7.42,140,74.2,65.8,South,Amazon,VIP
2025-12-14,SKU-012,Electrolyte Pack,12,20,11.6,240,139.2,100.8,Online,Wholesale,Returning
2025-12-14,SKU-013,Knee Support,14,26,12.48,364,174.72,189.28,West,Retail,New
2025-12-14,SKU-014,Gym Gloves,13,32,16.96,416,220.48,195.52,East,Amazon,Returning
2025-12-14,SKU-015,Jump Rope,2,38,22.04,76,44.08,31.92,North,Retail,New
2025-12-14,SKU-016,Massage Ball,2,16,7.68,32,15.36,16.64,East,Wholesale,Returning
2025-12-14,SKU-017,Compression Sleeve,6,22,11.66,132,69.96,62.04,Online,Wholesale,New
2025-12-14,SKU-018,Training Cone,11,28,16.24,308,178.64,129.36,West,Shopify,Returning
2025-12-14,SKU-019,Water Filter,17,34,16.32,578,277.44,300.56,West,Wholesale,Returning
2025-12-14,SKU-020,Energy Gel,9,40,21.2,360,190.8,169.2,Online,Amazon,Returning
2025-12-15,SKU-001,Hydration Bottle,3,10,4.8,30,14.4,15.6,Online,Amazon,Returning
2025-12-15,SKU-002,Protein Bar Box,7,16,8.48,112,59.36,52.64,West,Shopify,Returning
2025-12-15,SKU-003,Yoga Mat,6,22,12.76,132,76.56,55.44,South,Amazon,Returning
2025-12-15,SKU-004,Running Socks,7,28,13.44,196,94.08,101.92,East,Retail,New
2025-12-15,SKU-005,Smart Scale,12,34,18.02,408,216.24,191.76,East,Wholesale,New
2025-12-15,SKU-006,Resistance Bands,9,12,6.96,108,62.64,45.36,East,Shopify,Returning
2025-12-15,SKU-007,Meal Prep Container,13,18,8.64,234,112.32,121.68,East,Shopify,New
2025-12-15,SKU-008,Trail Mix Pack,1,24,12.72,24,12.72,11.28,Online,Amazon,Returning
2025-12-15,SKU-009,Vitamin Organizer,3,30,17.4,90,52.2,37.8,North,Wholesale,Wholesale
2025-12-15,SKU-010,Foam Roller,13,36,17.28,468,224.64,243.36,South,Wholesale,New
2025-12-15,SKU-011,Sports Towel,7,14,7.42,98,51.94,46.06,Online,Shopify,Returning
2025-12-15,SKU-012,Electrolyte Pack,11,20,11.6,220,127.6,92.4,East,Amazon,Returning
2025-12-15,SKU-013,Knee Support,10,26,12.48,260,124.8,135.2,East,Wholesale,VIP
2025-12-15,SKU-014,Gym Gloves,8,32,16.96,256,135.68,120.32,North,Wholesale,Returning
2025-12-15,SKU-015,Jump Rope,3,38,22.04,114,66.12,47.88,North,Shopify,Returning
2025-12-15,SKU-016,Massage Ball,4,16,7.68,64,30.72,33.28,North,Wholesale,VIP
2025-12-15,SKU-017,Compression Sleeve,6,22,11.66,132,69.96,62.04,East,Amazon,VIP
2025-12-15,SKU-018,Training Cone,8,28,16.24,224,129.92,94.08,North,Shopify,VIP
2025-12-16,SKU-001,Hydration Bottle,4,10,4.8,40,19.2,20.8,Online,Retail,New
2025-12-16,SKU-002,Protein Bar Box,3,16,8.48,48,25.44,22.56,East,Amazon,Returning
2025-12-16,SKU-003,Yoga Mat,10,22,12.76,220,127.6,92.4,Online,Retail,Wholesale
2025-12-16,SKU-004,Running Socks,13,28,13.44,364,174.72,189.28,East,Shopify,VIP
2025-12-16,SKU-005,Smart Scale,13,34,18.02,442,234.26,207.74,Online,Amazon,Returning
2025-12-16,SKU-006,Resistance Bands,9,12,6.96,108,62.64,45.36,East,Wholesale,New
2025-12-16,SKU-007,Meal Prep Container,18,18,8.64,324,155.52,168.48,East,Amazon,New
2025-12-16,SKU-008,Trail Mix Pack,2,24,12.72,48,25.44,22.56,Online,Wholesale,Returning
2025-12-16,SKU-009,Vitamin Organizer,9,30,17.4,270,156.6,113.4,West,Shopify,Returning
2025-12-16,SKU-011,Sports Towel,6,14,7.42,84,44.52,39.48,Online,Retail,Returning
2025-12-16,SKU-013,Knee Support,14,26,12.48,364,174.72,189.28,West,Shopify,VIP
2025-12-16,SKU-015,Jump Rope,2,38,22.04,76,44.08,31.92,East,Amazon,VIP
2025-12-16,SKU-016,Massage Ball,5,16,7.68,80,38.4,41.6,West,Wholesale,Returning
2025-12-16,SKU-017,Compression Sleeve,7,22,11.66,154,81.62,72.38,Online,Amazon,New
2025-12-16,SKU-020,Energy Gel,9,40,21.2,360,190.8,169.2,North,Retail,Returning
2025-12-17,SKU-001,Hydration Bottle,6,10,4.8,60,28.8,31.2,South,Wholesale,Returning
2025-12-17,SKU-002,Protein Bar Box,5,16,8.48,80,42.4,37.6,West,Shopify,Wholesale
2025-12-17,SKU-003,Yoga Mat,6,22,12.76,132,76.56,55.44,Online,Retail,Returning
2025-12-17,SKU-004,Running Socks,14,28,13.44,392,188.16,203.84,West,Shopify,Returning
2025-12-17,SKU-005,Smart Scale,12,34,18.02,408,216.24,191.76,East,Retail,Returning
2025-12-17,SKU-006,Resistance Bands,16,12,6.96,192,111.36,80.64,West,Retail,New
2025-12-17,SKU-007,Meal Prep Container,12,18,8.64,216,103.68,112.32,South,Retail,New
2025-12-17,SKU-008,Trail Mix Pack,6,24,12.72,144,76.32,67.68,Online,Wholesale,Returning
2025-12-17,SKU-009,Vitamin Organizer,3,30,17.4,90,52.2,37.8,West,Amazon,Wholesale
2025-12-17,SKU-010,Foam Roller,8,36,17.28,288,138.24,149.76,Online,Wholesale,Returning
2025-12-17,SKU-011,Sports Towel,8,14,7.42,112,59.36,52.64,East,Wholesale,VIP
2025-12-17,SKU-012,Electrolyte Pack,9,20,11.6,180,104.4,75.6,North,Wholesale,New
2025-12-17,SKU-013,Knee Support,8,26,12.48,208,99.84,108.16,North,Shopify,Returning
2025-12-17,SKU-014,Gym Gloves,11,32,16.96,352,186.56,165.44,South,Shopify,Wholesale
2025-12-17,SKU-015,Jump Rope,6,38,22.04,228,132.24,95.76,Online,Retail,VIP
2025-12-17,SKU-016,Massage Ball,1,16,7.68,16,7.68,8.32,North,Retail,Returning
2025-12-17,SKU-017,Compression Sleeve,6,22,11.66,132,69.96,62.04,South,Retail,Returning
2025-12-17,SKU-019,Water Filter,11,34,16.32,374,179.52,194.48,North,Retail,Returning
2025-12-18,SKU-001,Hydration Bottle,2,10,4.8,20,9.6,10.4,East,Wholesale,VIP
2025-12-18,SKU-002,Protein Bar Box,6,16,8.48,96,50.88,45.12,North,Shopify,New
2025-12-18,SKU-003,Yoga Mat,2,22,12.76,44,25.52,18.48,North,Amazon,Returning
2025-12-18,SKU-004,Running Socks,12,28,13.44,336,161.28,174.72,South,Shopify,New
2025-12-18,SKU-005,Smart Scale,12,34,18.02,408,216.24,191.76,West,Amazon,VIP
2025-12-18,SKU-006,Resistance Bands,17,12,6.96,204,118.32,85.68,West,Amazon,Returning
2025-12-18,SKU-007,Meal Prep Container,16,18,8.64,288,138.24,149.76,North,Amazon,New
2025-12-18,SKU-008,Trail Mix Pack,2,24,12.72,48,25.44,22.56,South,Retail,Returning
2025-12-18,SKU-009,Vitamin Organizer,7,30,17.4,210,121.8,88.2,North,Amazon,VIP
2025-12-18,SKU-010,Foam Roller,12,36,17.28,432,207.36,224.64,North,Wholesale,Returning
2025-12-18,SKU-011,Sports Towel,9,14,7.42,126,66.78,59.22,South,Amazon,Returning
2025-12-18,SKU-012,Electrolyte Pack,13,20,11.6,260,150.8,109.2,West,Wholesale,Returning
